,id,title,completed
0,1,delectus aut autem,False
1,2,quis ut nam facilis et officia qui,False
2,3,fugiat veniam minus,False
3,4,et porro tempora,True
4,5,laboriosam mollitia et enim quasi adipisci quia provident illum,False
5,6,qui ullam ratione quibusdam voluptatem quia omnis,False
6,7,illo expedita consequatur quia in,False
7,8,quo adipisci enim quam ut ab,True
8,9,molestiae perspiciatis ipsa,False
9,10,illo est ratione doloremque quia maiores aut,True
10,11,vero rerum temporibus dolor,True
11,12,ipsa repellendus fugit nisi,True
12,13,et doloremque nulla,False
13,14,repellendus sunt dolores architecto voluptatum,True
14,15,ab voluptatum amet voluptas,True
15,16,accusamus eos facilis sint et aut voluptatem,True
16,17,quo laboriosam deleniti aut qui,True
17,18,dolorum est consequatur ea mollitia in culpa,False
18,19,molestiae ipsa aut voluptatibus pariatur dolor nihil,True
19,20,ullam nobis libero sapiente ad optio sint,True
20,21,suscipit repellat esse quibusdam voluptatem incidunt,False
21,22,distinctio vitae autem nihil ut molestias quo,True
22,23,et itaque necessitatibus maxime molestiae qui quas velit,False
23,24,adipisci non ad dicta qui amet quaerat doloribus ea,False
24,25,voluptas quo tenetur perspiciatis explicabo natus,True
25,26,aliquam aut quasi,True
26,27,veritatis pariatur delectus,True
27,28,nesciunt totam sit blanditiis sit,False
28,29,laborum aut in quam,False
29,30,nemo perspiciatis repellat ut dolor libero commodi blanditiis omnis,True
30,31,repudiandae totam in est sint facere fuga,False
31,32,earum doloribus ea doloremque quis,False
32,33,sint sit aut vero,False
33,34,porro aut necessitatibus eaque distinctio,False
34,35,repellendus veritatis molestias dicta incidunt,True
35,36,excepturi deleniti adipisci voluptatem et neque optio illum ad,True
36,37,sunt cum tempora,False
37,38,totam quia non,False
38,39,doloremque quibusdam asperiores libero corrupti illum qui omnis,False
39,40,totam atque quo nesciunt,True
40,41,aliquid amet impedit consequatur aspernatur placeat eaque fugiat suscipit,False
41,42,rerum perferendis error quia ut eveniet,False
42,43,tempore ut sint quis recusandae,True
43,44,cum debitis quis accusamus doloremque ipsa natus sapiente omnis,True
44,45,velit soluta adipisci molestias reiciendis harum,False
45,46,vel voluptatem repellat nihil placeat corporis,False
46,47,nam qui rerum fugiat accusamus,False
47,48,sit reprehenderit omnis quia,False
48,49,ut necessitatibus aut maiores debitis officia blanditiis velit et,False
49,50,cupiditate necessitatibus ullam aut quis dolor voluptate,True
50,51,distinctio exercitationem ab doloribus,False
51,52,nesciunt dolorum quis recusandae ad pariatur ratione,False
52,53,qui labore est occaecati recusandae aliquid quam,False
53,54,quis et est ut voluptate quam dolor,True
54,55,voluptatum omnis minima qui occaecati provident nulla voluptatem ratione,True
55,56,deleniti ea temporibus enim,True
56,57,pariatur et magnam ea doloribus similique voluptatem rerum quia,False
57,58,est dicta totam qui explicabo doloribus qui dignissimos,False
58,59,perspiciatis velit id laborum placeat iusto et aliquam odio,False
59,60,et sequi qui architecto ut adipisci,True
60,61,odit optio omnis qui sunt,True
61,62,et placeat et tempore aspernatur sint numquam,False
62,63,doloremque aut dolores quidem fuga qui nulla,True
63,64,voluptas consequatur qui ut quia magnam nemo esse,False
64,65,fugiat pariatur ratione ut asperiores necessitatibus magni,False
65,66,rerum eum molestias autem voluptatum sit optio,False
66,67,quia voluptatibus voluptatem quos similique maiores repellat,False
67,68,aut id perspiciatis voluptatem iusto,False
68,69,doloribus sint dolorum ab adipisci itaque dignissimos aliquam suscipit,False
69,70,ut sequi accusantium et mollitia delectus sunt,False
70,71,aut velit saepe ullam,False
71,72,praesentium facilis facere quis harum voluptatibus voluptatem eum,False
72,73,sint amet quia totam corporis qui exercitationem commodi,True
73,74,expedita tempore nobis eveniet laborum maiores,False
74,75,occaecati adipisci est possimus totam,False
75,76,sequi dolorem sed,True
76,77,maiores aut nesciunt delectus exercitationem vel assumenda eligendi at,False
77,78,reiciendis est magnam amet nemo iste recusandae impedit quaerat,False
78,79,eum ipsa maxime ut,True
79,80,tempore molestias dolores rerum sequi voluptates ipsum consequatur,True
80,81,suscipit qui totam,True
81,82,voluptates eum voluptas et dicta,False
82,83,quidem at rerum quis ex aut sit quam,True
83,84,sunt veritatis ut voluptate,False
84,85,et quia ad iste a,True
85,86,incidunt ut saepe autem,True
86,87,laudantium quae eligendi consequatur quia et vero autem,True
87,88,vitae aut excepturi laboriosam sint aliquam et et accusantium,False
88,89,sequi ut omnis et,True
89,90,molestiae nisi accusantium tenetur dolorem et,True
90,91,nulla quis consequatur saepe qui id expedita,True
91,92,in omnis laboriosam,True
92,93,odio iure consequatur molestiae quibusdam necessitatibus quia sint,True
93,94,facilis modi saepe mollitia,False
94,95,vel nihil et molestiae iusto assumenda nemo quo ut,True
95,96,nobis suscipit ducimus enim asperiores voluptas,False
96,97,dolorum laboriosam eos qui iure aliquam,False
97,98,debitis accusantium ut quo facilis nihil quis sapiente necessitatibus,True
98,99,neque voluptates ratione,False
99,100,excepturi a et neque qui expedita vel voluptate,False
100,101,explicabo enim cumque porro aperiam occaecati minima,False
101,102,sed ab consequatur,False
102,103,non sunt delectus illo nulla tenetur enim omnis,False
103,104,excepturi non laudantium quo,False
104,105,totam quia dolorem et illum repellat voluptas optio,True
105,106,ad illo quis voluptatem temporibus,True
106,107,praesentium facilis omnis laudantium fugit ad iusto nihil nesciunt,False
107,108,a eos eaque nihil et exercitationem incidunt delectus,True
108,109,autem temporibus harum quisquam in culpa,True
109,110,aut aut ea corporis,True
110,111,magni accusantium labore et id quis provident,False
111,112,consectetur impedit quisquam qui deserunt non rerum consequuntur eius,False
112,113,quia atque aliquam sunt impedit voluptatum rerum assumenda nisi,False
