iter	MultiClass
0	2.797388968
1	2.431893203
2	2.337321486
3	2.295157973
4	2.271947242
5	2.257954903
6	2.243030405
7	2.223650005
8	2.213155177
9	2.206750579
10	2.193741271
11	2.18650427
12	2.17906327
13	2.167626448
14	2.162265732
15	2.154653701
16	2.14648115
17	2.139124126
18	2.133283713
19	2.124379574
20	2.114718694
21	2.10618437
22	2.096735838
23	2.091094005
24	2.081758958
25	2.069625904
26	2.062720598
27	2.054663069
28	2.046358529
29	2.042487569
30	2.031860859
31	2.023201943
32	2.012001444
33	2.009955654
34	2.004436867
35	1.996471063
36	1.99057165
37	1.984764492
38	1.980255078
39	1.976574219
40	1.969385762
41	1.966427663
42	1.96275504
43	1.961136108
44	1.954345307
45	1.95048704
46	1.946810795
47	1.94439348
48	1.940350647
49	1.931132651
50	1.924655241
51	1.919433983
52	1.914274466
53	1.906980147
54	1.902535929
55	1.897917136
56	1.894726358
57	1.890651147
58	1.888559947
59	1.884636319
60	1.878654761
61	1.875648602
62	1.87119324
63	1.867901247
64	1.864205743
65	1.861682197
66	1.857217341
67	1.854924403
68	1.850005652
69	1.846187283
70	1.843085588
71	1.839170126
72	1.837207819
73	1.832386976
74	1.83119133
75	1.82798809
76	1.822392518
77	1.819357329
78	1.815590207
79	1.812203669
80	1.809165494
81	1.804831146
82	1.802419323
83	1.801299012
84	1.799301252
85	1.797187534
86	1.794256543
87	1.791778287
88	1.787238919
89	1.785613686
90	1.781850022
91	1.778941565
92	1.777413476
93	1.775528999
94	1.77317341
95	1.771255944
96	1.765936696
97	1.762763742
98	1.759898093
99	1.756312935
