iter	Passed	Remaining
0	315	31222
1	424	20784
2	475	15363
3	521	12518
4	571	10859
5	622	9759
6	675	8978
7	745	8574
8	866	8758
9	983	8848
10	1097	8876
11	1216	8917
12	1328	8893
13	1441	8852
14	1514	8583
15	1589	8345
16	1664	8124
17	1739	7924
18	1823	7772
19	1905	7621
20	1985	7468
21	2067	7328
22	2150	7201
23	2235	7077
24	2322	6967
25	2409	6858
26	2486	6723
27	2568	6604
28	2657	6506
29	2739	6391
30	2814	6263
31	2894	6150
32	2971	6032
33	3046	5913
34	3125	5803
35	3220	5724
36	3328	5668
37	3432	5600
38	3534	5528
39	3640	5461
40	3752	5400
41	3857	5326
42	3967	5258
43	4089	5205
44	4172	5100
45	4232	4968
46	4285	4832
47	4346	4708
48	4409	4589
49	4466	4466
50	4539	4361
51	4610	4256
52	4702	4170
53	4820	4106
54	4944	4045
55	5001	3929
56	5062	3819
57	5115	3704
58	5190	3606
59	5290	3527
60	5399	3451
61	5506	3375
62	5620	3301
63	5733	3225
64	5852	3151
65	5961	3071
66	6078	2993
67	6189	2912
68	6303	2832
69	6406	2745
70	6516	2661
71	6616	2573
72	6718	2484
73	6816	2394
74	6910	2303
75	7020	2217
76	7129	2129
77	7228	2038
78	7330	1948
79	7427	1856
80	7533	1767
81	7638	1676
82	7740	1585
83	7841	1493
84	7939	1401
85	8067	1313
86	8180	1222
87	8289	1130
88	8401	1038
89	8515	946
90	8630	853
91	8743	760
92	8854	666
93	8961	571
94	9077	477
95	9191	382
96	9306	287
97	9417	192
98	9531	96
99	9641	0
