iter	Passed	Remaining
0	164	16259
1	169	8289
2	175	5678
3	181	4355
4	188	3574
5	193	3035
6	199	2648
7	204	2351
8	211	2135
9	218	1964
10	224	1816
11	230	1691
12	238	1596
13	240	1478
14	246	1396
15	254	1336
16	260	1271
17	267	1216
18	272	1159
19	277	1108
20	283	1066
21	289	1025
22	294	985
23	300	950
24	304	913
25	310	882
26	315	853
27	319	822
28	325	796
29	330	771
30	336	748
31	342	727
32	348	706
33	355	689
34	361	670
35	364	648
36	366	623
37	371	605
38	375	588
39	382	573
40	388	558
41	394	544
42	400	530
43	406	516
44	412	503
45	416	488
46	421	474
47	427	463
48	431	449
49	434	434
50	436	419
51	440	406
52	445	394
53	447	381
54	450	368
55	454	357
56	459	346
57	461	334
58	464	322
59	466	311
60	470	300
61	472	289
62	475	279
63	477	268
64	480	258
65	483	248
66	487	240
67	490	230
68	491	220
69	493	211
70	495	202
71	499	194
72	502	185
73	504	177
74	506	168
75	508	160
76	510	152
77	514	144
78	516	137
79	519	129
80	522	122
81	524	115
82	526	107
83	529	100
84	531	93
85	534	87
86	537	80
87	539	73
88	542	67
89	545	60
90	547	54
91	549	47
92	551	41
93	553	35
94	556	29
95	558	23
96	561	17
97	563	11
98	564	5
99	566	0
