iter	MultiClass
0	0.6576455701
1	0.3737013978
2	0.2755767926
3	0.2196720889
4	0.1760173519
5	0.1485978975
6	0.1289230905
7	0.1170034863
8	0.1085244016
9	0.09851597358
10	0.08816628163
11	0.08282235404
12	0.07631794347
13	0.06810528598
14	0.06401710711
15	0.06042287346
16	0.05786211091
17	0.05248037364
18	0.04789484615
19	0.04385487929
20	0.04171943204
21	0.03832084164
22	0.03598055134
23	0.03356981366
24	0.03169031895
25	0.03075184062
26	0.03001474563
27	0.02914228516
28	0.02866059795
29	0.02712126389
30	0.0256382435
31	0.02396866053
32	0.02318750187
33	0.02252829507
34	0.02222104307
35	0.02089767184
36	0.01994857902
37	0.01952971386
38	0.01860775674
39	0.01830246067
40	0.01750043608
41	0.01666348271
42	0.01646762976
43	0.01578440376
44	0.01561763522
45	0.01501024571
46	0.01434446927
47	0.01387463553
48	0.01319196775
49	0.01265516404
50	0.01221531772
51	0.01196817862
52	0.01147521004
53	0.01117442258
54	0.0108348712
55	0.01044096498
56	0.01038598764
57	0.0102993688
58	0.01001661695
59	0.009722976928
60	0.009475700034
61	0.009372414687
62	0.009257678248
63	0.009028817367
64	0.008816149905
65	0.008545578238
66	0.008271541804
67	0.00809045812
68	0.007894763556
69	0.00778616546
70	0.007684434105
71	0.007509957584
72	0.007307606939
73	0.007179566158
74	0.00706117562
75	0.006937271025
76	0.006838435124
77	0.006792797426
78	0.006675778985
79	0.006607964302
80	0.00649399174
81	0.006396578561
82	0.006290235274
83	0.006205611644
84	0.006099226458
85	0.006015717316
86	0.005900916235
87	0.005802003273
88	0.005684876917
89	0.005603524505
90	0.005528555558
91	0.005447322147
92	0.005382685841
93	0.005312707124
94	0.00527924705
95	0.005234017821
96	0.005171075361
97	0.005142197261
98	0.00505674982
99	0.004980368637
