iter	Passed	Remaining
0	162	16071
1	165	8100
2	167	5417
3	169	4075
4	172	3276
5	174	2738
6	176	2345
7	178	2047
8	179	1813
9	180	1626
10	182	1472
11	183	1344
12	184	1235
13	185	1138
14	186	1057
15	188	987
16	189	924
17	190	869
18	192	818
19	193	773
20	194	731
21	195	693
22	196	657
23	197	625
24	198	595
25	199	567
26	200	542
27	201	518
28	202	496
29	204	476
30	205	457
31	206	439
32	207	421
33	208	405
34	209	389
35	210	373
36	210	358
37	211	345
38	213	333
39	214	321
40	215	310
41	217	300
42	219	290
43	220	280
44	221	270
45	222	260
46	223	251
47	224	242
48	225	234
49	226	226
50	227	218
51	229	212
52	230	204
53	231	197
54	232	190
55	234	183
56	235	177
57	236	170
58	237	164
59	237	158
60	238	152
61	239	146
62	240	141
63	241	135
64	242	130
65	243	125
66	244	120
67	245	115
68	246	110
69	246	105
70	247	101
71	248	96
72	249	92
73	250	87
74	251	83
75	251	79
76	252	75
77	253	71
78	254	67
79	256	64
80	256	60
81	257	56
82	274	56
83	275	52
84	276	48
85	277	45
86	278	41
87	278	38
88	279	34
89	280	31
90	281	27
91	282	24
92	283	21
93	284	18
94	286	15
95	286	11
96	287	8
97	288	5
98	289	2
99	290	0
