src_zb_addr,dst_zb_addr,start_time,stop_time,duration,number_of_packets,min_size,max_size,average_size,total_bytes_a,total_bytes_b,sum_size,packets_a,packets_b,connect
1ba29f32,c08a1bf5,1570732037,1570732037,0.0002141,4,34,43,38.5,86,68,154,2,2,1
1ba29f32,c08a1bf5,1570732043,1570732043,0.000378847,6,35,52,41.33333333,178,70,248,4,2,1
c08a1bf5,1ba29f32,1570732046,1570732046,7.87E-06,2,36,36,36,72,0,72,2,0,1
c08a1bf5,1ba29f32,1570732047,1570732047,6.91E-06,2,33,33,33,66,0,66,2,0,1
1ba29f32,c08a1bf5,1570732049,1570732050,0.999161005,6,39,57,49.66666667,192,106,298,4,2,1
1ba29f32,c08a1bf5,1570732056,1570732056,0.000298977,4,33,36,34.5,66,72,138,2,2,1
1ba29f32,c08a1bf5,1570732066,1570732066,1.19E-05,2,40,40,40,80,0,80,2,0,1
1ba29f32,c08a1bf5,1570732085,1570732085,1.31E-05,2,40,40,40,80,0,80,2,0,1
1ba29f32,c08a1bf5,1570732111,1570732111,2.29E-05,2,40,40,40,80,0,80,2,0,1
1ba29f32,c08a1bf5,1570732118,1570732118,1.29E-05,2,40,40,40,80,0,80,2,0,1
1ba29f32,c08a1bf5,1570732124,1570732124,1.19E-05,2,40,40,40,80,0,80,2,0,1
1ba29f32,c08a1bf5,1570732129,1570732129,2.29E-05,2,40,40,40,80,0,80,2,0,1
1ba29f32,c08a1bf5,1570732170,1570732170,1.31E-05,2,40,40,40,80,0,80,2,0,1
1ba29f32,c08a1bf5,1570732175,1570732175,1.19E-05,2,40,40,40,80,0,80,2,0,1
1ba29f32,c08a1bf5,1570732198,1570732198,2.41E-05,2,40,40,40,80,0,80,2,0,1
1ba29f32,c08a1bf5,1570732204,1570732204,2.50E-05,2,40,40,40,80,0,80,2,0,1
1ba29f32,c08a1bf5,1570732209,1570732209,2.31E-05,2,40,40,40,80,0,80,2,0,1
1ba29f32,c08a1bf5,1570732214,1570732214,8.11E-06,2,40,40,40,80,0,80,2,0,1
1ba29f32,c08a1bf5,1570732228,1570732228,2.00E-05,2,40,40,40,80,0,80,2,0,1
1ba29f32,c08a1bf5,1570732243,1570732243,2.50E-05,2,40,40,40,80,0,80,2,0,1
1ba29f32,c08a1bf5,1570732466,1570732466,2.50E-05,2,40,40,40,80,0,80,2,0,1
1ba29f32,c08a1bf5,1570732482,1570732482,2.38E-05,2,40,40,40,80,0,80,2,0,1
1ba29f32,c08a1bf5,1570732644,1570732644,1.50E-05,2,40,40,40,80,0,80,2,0,1
1ba29f32,c08a1bf5,1570732655,1570732655,2.29E-05,2,40,40,40,80,0,80,2,0,1
1ba29f32,c08a1bf5,1570732678,1570732678,1.79E-05,2,40,40,40,80,0,80,2,0,1
1ba29f32,c08a1bf5,1570732683,1570732683,2.29E-05,2,40,40,40,80,0,80,2,0,1
1ba29f32,c08a1bf5,1570732809,1570732809,2.41E-05,2,40,40,40,80,0,80,2,0,1
1ba29f32,c08a1bf5,1570732814,1570732814,1.10E-05,2,40,40,40,80,0,80,2,0,1
1ba29f32,c08a1bf5,1570732860,1570732860,1.91E-05,2,40,40,40,80,0,80,2,0,1
1ba29f32,c08a1bf5,1570732865,1570732865,1.98E-05,2,40,40,40,80,0,80,2,0,1
1ba29f32,c08a1bf5,1570732878,1570732878,2.31E-05,2,40,40,40,80,0,80,2,0,1
1ba29f32,c08a1bf5,1570732883,1570732883,1.19E-05,2,40,40,40,80,0,80,2,0,1
1ba29f32,c08a1bf5,1570732901,1570732901,2.48E-05,2,40,40,40,80,0,80,2,0,1
1ba29f32,c08a1bf5,1570732918,1570732918,2.31E-05,2,40,40,40,80,0,80,2,0,1
1ba29f32,c08a1bf5,1570733039,1570733039,1.81E-05,2,40,40,40,80,0,80,2,0,1
1ba29f32,c08a1bf5,1570733046,1570733046,1.19E-05,2,40,40,40,80,0,80,2,0,1
73fce3d2,c08a1bf5,1570733067,1570733067,1.19E-05,2,40,40,40,80,0,80,2,0,1
73fce3d2,c08a1bf5,1570733072,1570733072,5.91E-05,2,40,40,40,80,0,80,2,0,1
73fce3d2,c08a1bf5,1570733284,1570733284,2.10E-05,2,40,40,40,80,0,80,2,0,1
73fce3d2,c08a1bf5,1570733289,1570733289,2.00E-05,2,40,40,40,80,0,80,2,0,1
1ba29f32,c08a1bf5,1570733294,1570733295,0.999018908,2,40,40,40,80,0,80,2,0,1
1ba29f32,c08a1bf5,1570733304,1570733304,2.29E-05,2,40,40,40,80,0,80,2,0,1
1ba29f32,c08a1bf5,1570733503,1570733503,1.31E-05,2,40,40,40,80,0,80,2,0,1
1ba29f32,c08a1bf5,1570733535,1570733535,1.22E-05,2,40,40,40,80,0,80,2,0,1
1ba29f32,c08a1bf5,1570733540,1570733540,1.19E-05,2,40,40,40,80,0,80,2,0,1
1ba29f32,c08a1bf5,1570733547,1570733547,1.50E-05,2,40,40,40,80,0,80,2,0,1
1ba29f32,c08a1bf5,1570733548,1570733548,2.10E-05,2,40,40,40,80,0,80,2,0,1
1ba29f32,c08a1bf5,1570733573,1570733573,8.82E-06,2,40,40,40,80,0,80,2,0,1
1ba29f32,c08a1bf5,1570733578,1570733578,1.22E-05,2,40,40,40,80,0,80,2,0,1
1ba29f32,c08a1bf5,1570733605,1570733605,2.19E-05,2,40,40,40,80,0,80,2,0,1
1ba29f32,c08a1bf5,1570733607,1570733607,1.22E-05,2,40,40,40,80,0,80,2,0,1
1ba29f32,c08a1bf5,1570733625,1570733625,1.98E-05,2,40,40,40,80,0,80,2,0,1
1ba29f32,c08a1bf5,1570733626,1570733626,1.19E-05,2,40,40,40,80,0,80,2,0,1
1ba29f32,c08a1bf5,1570733631,1570733632,0.999373913,4,40,40,40,160,0,160,4,0,1
1ba29f32,c08a1bf5,1570733656,1570733656,2.41E-05,2,40,40,40,80,0,80,2,0,1
1ba29f32,c08a1bf5,1570733725,1570733725,2.62E-05,2,40,40,40,80,0,80,2,0,1
1ba29f32,c08a1bf5,1570733730,1570733730,3.70E-05,2,40,40,40,80,0,80,2,0,1
1ba29f32,c08a1bf5,1570733734,1570733734,2.50E-05,2,40,40,40,80,0,80,2,0,1
1ba29f32,c08a1bf5,1570733739,1570733739,2.50E-05,2,40,40,40,80,0,80,2,0,1
1ba29f32,c08a1bf5,1570733766,1570733766,2.50E-05,2,40,40,40,80,0,80,2,0,1
1ba29f32,c08a1bf5,1570733771,1570733771,2.38E-05,2,40,40,40,80,0,80,2,0,1
1ba29f32,c08a1bf5,1570733801,1570733801,2.50E-05,2,40,40,40,80,0,80,2,0,1
1ba29f32,c08a1bf5,1570733809,1570733809,2.41E-05,2,40,40,40,80,0,80,2,0,1
1ba29f32,c08a1bf5,1570733816,1570733816,1.19E-05,2,40,40,40,80,0,80,2,0,1
1ba29f32,c08a1bf5,1570733821,1570733821,1.38E-05,2,40,40,40,80,0,80,2,0,1
