Provider.ID,Hospital.name,PAYM_30_AMI,PAYM_30_HF,PAYM_30_PN,PAYM_90_HIP_KNEE,HAI.2.Measure.Score,Combined.SSI.Measure.Score,HAI.3.Measure.Score,HAI.4.Achievement.Threshold,HAI.4.Benchmark,HAI.4.Baseline.Rate,HAI.4.Performance.Rate,HAI.5.Improvement.Points,HAI.5.Measure.Score,ED_1b,ED_2b,EDV,OP_22,OP_29,OP_30,lat,adress_search,geoAddress,ZIP.Code
10001,SOUTHEAST ALABAMA MEDICAL CENTER,"$22,178","$16,525","$17,230","$26,863",9 out of 10,7 out of 10,5 out of 10,0.71,0,Not Available,0,1 out of 9,1 out of 10,276,94,"High (40,000 - 59,999 patients annually)",6,47,92,31.2163895,"SOUTHEAST ALABAMA MEDICAL CENTER, 1108 ROSS CLARK CIRCLE, DOTHAN, AL","1108 ross clark cir, dothan, al 36301, usa",36301
10005,MARSHALL MEDICAL CENTER SOUTH,"$22,133","$16,321","$15,882","$23,545",5 out of 10,10 out of 10,10 out of 10,0.71,0,Not Available,Not Available,5 out of 9,5 out of 10,244,74,"Very High (60,000+ patients annually)",2,79,97,34.2214061,"MARSHALL MEDICAL CENTER SOUTH, 2505 U S HIGHWAY 431 NORTH, BOAZ, AL","2505 us-431, boaz, al 35957, usa",35957
10006,ELIZA COFFEE MEMORIAL HOSPITAL,"$22,682","$15,465","$17,023","$24,387",1 out of 10,7 out of 10,7 out of 10,0.71,0,0.852,Not Available,0 out of 9,0 out of 10,226,68,"High (40,000 - 59,999 patients annually)",2,68,83,34.793845,"ELIZA COFFEE MEMORIAL HOSPITAL, 205 MARENGO STREET, FLORENCE, AL","205 s marengo st, florence, al 35630, usa",35631
10007,MIZELL MEMORIAL HOSPITAL,Not Available,"$13,674","$14,645","$24,231",Not Available,Not Available,Not Available,0.71,0,Not Available,Not Available,Not Available,Not Available,125,70,"Low (0 - 19,999 patients annually)",4,100,0,31.2919828,"MIZELL MEMORIAL HOSPITAL, 702 N MAIN ST, OPP, AL","702 n main st, opp, al 36467, usa",36467
10008,CRENSHAW COMMUNITY HOSPITAL,Not Available,Not Available,"$14,699",Not Available,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,84,"Low (0 - 19,999 patients annually)",0,62,91,31.6936146,"CRENSHAW COMMUNITY HOSPITAL, 101 HOSPITAL CIRCLE, LUVERNE, AL","101 hospital dr, luverne, al 36049, usa",36049
10011,ST VINCENT'S EAST,"$23,900","$15,946","$17,656","$23,861",4 out of 10,4 out of 10,4 out of 10,0.71,0,1.596,2.768,3 out of 9,3 out of 10,282,65,"High (40,000 - 59,999 patients annually)",3,89,100,33.594465,"ST VINCENT'S EAST, 50 MEDICAL PARK EAST DRIVE, BIRMINGHAM, AL","46 medical park dr e, birmingham, al 35235, usa",35235
10012,DEKALB REGIONAL MEDICAL CENTER,"$23,368","$15,938","$17,090",Not Available,10 out of 10,Not Available,Not Available,0.71,0,Not Available,Not Available,Not Available,Not Available,214,61,"Medium (20,000 - 39,999 patients annually)",3,100,100,34.4412144,"DEKALB REGIONAL MEDICAL CENTER, 200 MED CENTER DRIVE, FORT PAYNE, AL","200 medical center dr sw, fort payne, al 35968, usa",35968
10016,SHELBY BAPTIST MEDICAL CENTER,"$22,668","$16,658","$17,115","$23,283",5 out of 10,10 out of 10,10 out of 10,0.71,0,Not Available,Not Available,0 out of 9,0 out of 10,276,83,"High (40,000 - 59,999 patients annually)",1,85,100,33.252859,"SHELBY BAPTIST MEDICAL CENTER, 1000 FIRST STREET NORTH, ALABASTER, AL","1000 1st st n, alabaster, al 35007, usa",35007
10018,CALLAHAN EYE HOSPITAL,Not Available,Not Available,Not Available,Not Available,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,Not Available,"Low (0 - 19,999 patients annually)",1,Not Available,Not Available,33.5037322,"CALLAHAN EYE HOSPITAL, 1720 UNIVERSITY BLVD, BIRMINGHAM, AL","1720 university blvd, birmingham, al 35233, usa",35233
10019,HELEN KELLER MEMORIAL HOSPITAL,"$22,166","$16,271","$17,392","$23,870",5 out of 10,4 out of 10,4 out of 10,0.71,0,Not Available,Not Available,0 out of 9,0 out of 10,190,58,"High (40,000 - 59,999 patients annually)",1,91,100,34.7461278,"HELEN KELLER MEMORIAL HOSPITAL, 1300 SOUTH MONTGOMERY AVENUE, SHEFFIELD, AL","1300 s montgomery ave, sheffield, al 35660, usa",35660
